ReporterISO3,PartnerISO3,Year,120810 in 1000 USD 
GTM,NIC,2006,0.007
IND,PAN,2018,0.007
NLD,CZE,2017,0.007
NLD,CZE,2019,0.007
NLD,HUN,2019,0.007
NLD,LVA,2017,0.007
PER,ITA,2021,0.007
PER,NLD,2020,0.007
POL,BEL,2016,0.007
PRT,STP,2018,0.007
THA,CHN,2015,0.007
THA,HKG,2018,0.007
WSM,NZL,2015,0.007
ZAF,BRB,2003,0.007
ZAF,KEN,2006,0.007
ARE,IRN,2018,0.008
CHE,BRA,2007,0.008
CIV,GBR,2015,0.008
CZE,DEU,2017,0.008
FIN,GBR,2022,0.008
GBR,LVA,2010,0.008
GBR,PRT,2012,0.008
ITA,IRL,2022,0.008
LKA,BHS,2013,0.008
NLD,ISL,2012,0.008
NZL,SGP,2018,0.008
SGP,SYC,2012,0.008
TUR,ESP,2021,0.008
TUR,ISR,2021,0.008
ZAF,CHN,2008,0.008
ZAF,HKG,2008,0.008
CIV,FRA,2019,0.009
ECU,NLD,2018,0.009
FRA,HRV,2014,0.009
FRA,PRT,2018,0.009
FRA,PRT,2019,0.009
FRA,ROM,2013,0.009
FRA,ROM,2018,0.009
GTM,HND,2020,0.009
IND,GUY,2013,0.009
KOR,CHN,2015,0.009
KOR,GBR,2019,0.009
POL,ROM,2022,0.009
SGP,IDN,2018,0.009
TUR,HRV,2000,0.009
CAN,SER,2012,0.01
CAN,SPM,2007,0.01
CHE,ESP,2015,0.01
CHE,ETH,2010,0.01
CHE,IRN,2005,0.01
CHE,LBN,2015,0.01
CHE,MAR,2004,0.01
CHE,NLD,2017,0.01
CMR,COG,2018,0.01
ECU,NLD,2019,0.01
EUN,GHA,2015,0.01
FRA,PRT,2015,0.01
FRA,ROM,2011,0.01
IND,CMR,2017,0.01
IND,CUW,2018,0.01
IND,ETH,2019,0.01
IND,LBN,2019,0.01
NIC,GTM,2007,0.01
NLD,GHA,2015,0.01
POL,LVA,2020,0.01
TUR,BRA,2021,0.01
TUR,OMN,2021,0.01
TUR,SVN,2001,0.01
BEL,RUS,2020,0.011
BRA,AGO,2005,0.011
BRA,BOL,2005,0.011
CHE,FRA,2021,0.011
DEU,SVK,2022,0.011
DNK,MLT,2013,0.011
ESP,PAN,2017,0.011
FRA,PRT,2013,0.011
GHA,AUS,2012,0.011
GHA,AUS,2014,0.011
NLD,IND,2013,0.011
PER,ABW,2010,0.011
PER,ITA,2019,0.011
RUS,UNS,2016,0.011
TUR,SAU,2021,0.011
BRA,VUT,2020,0.012
CHN,SVK,2004,0.012
DNK,FRO,2005,0.012
EUN,FRO,2005,0.012
EUN,URY,2021,0.012
FIN,URY,2021,0.012
JAM,CYM,2012,0.012
JAM,SXM,2018,0.012
KOR,ZAF,2014,0.012
LKA,USA,2008,0.012
MEX,FRA,2010,0.012
NLD,IND,2014,0.012
NLD,SVK,2018,0.012
NZL,PYF,2010,0.012
PER,ABW,2021,0.012
RUS,TJK,2021,0.012
SLV,HND,2003,0.012
SVN,HUN,2017,0.012
SVN,SER,2021,0.012
SWZ,ZAF,2014,0.012
TUR,BGR,2021,0.012
TUR,DEU,2001,0.012
TUR,MAR,2022,0.012
TUR,ROM,2021,0.012
TUR,UZB,2022,0.012
ZAF,IRL,2006,0.012
CHE,NLD,2014,0.013
CHE,SER,2010,0.013
CIV,GBR,2019,0.013
DNK,ROM,2011,0.013
EUN,MAC,2022,0.013
GBR,HRV,2020,0.013
GBR,MLT,2019,0.013
IND,TUR,2018,0.013
IND,ZMB,2021,0.013
KEN,GHA,2020,0.013
MAR,CPV,2015,0.013
MWI,ZAF,2020,0.013
NLD,SVK,2021,0.013
PER,NLD,2021,0.013
PRT,MAC,2022,0.013
RUS,KGZ,2018,0.013
TZA,OMN,2015,0.013
ZAF,AGO,2014,0.013
BWA,ZWE,2010,0.014
EUN,CAF,2018,0.014
EUN,FRO,2007,0.014
EUN,IDN,2015,0.014
EUN,SGP,2021,0.014
FIN,CHE,2020,0.014
FIN,EST,2015,0.014
FIN,MDA,2001,0.014
FIN,SGP,2021,0.014
FRA,MEX,2015,0.014
GBR,AUT,2019,0.014
HRV,CZE,2022,0.014
IND,COG,2013,0.014
ITA,GRC,2000,0.014
ITA,MLT,2018,0.014
NLD,MLT,2017,0.014
PRT,CAF,2018,0.014
RWA,USA,2021,0.014
SER,DEU,2001,0.014
TUR,ARE,2021,0.014
TUR,BGD,2021,0.014
TUR,KAZ,2022,0.014
ZAF,NZL,2016,0.014
ZAF,SPE,2021,0.014
BRA,KOR,2021,0.015
BRA,PRY,2015,0.015
DNK,IDN,2015,0.015
GBR,SVK,2019,0.015
GHA,USA,2005,0.015
IND,ABW,2016,0.015
KOR,GTM,2021,0.015
