Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
SVK,Slovak Republic,16,8,24,27222.917,2624.418,29847.335,4,0.392193,0.422591,31.940954,0.101326,0.038232,0.006356,0,101,0.557186,0.720588
SVN,Slovenia,12,8,20,16411.724,159.014,16570.738,4,0.378815,0.409953,11.318372,0.078798,0.033524,0.00494,0,101,0.4026,0.631868
SWE,Sweden,20,11,31,16902.948,648.49,17551.438,3,0.455724,0.484992,99.875385,0.127967,0.055878,0.0066,0,101,0.616757,0.483333
SYR,Syrian Arab Republic,5,0,5,1260.125,0,1260.125,0,0,0,0,0.045941,0,0.002281,0,8,0.096966,0.5
TUN,Tunisia,4,2,6,245.849,1241.813,1487.662,4,0.341424,0.359005,5.606012,0.038419,0.006766,0.002537,0,101,0.136079,0.466667
TUR,Turkey,12,61,73,22757.877,2519.914,25277.791,3,0.562667,0.633491,332.271914,0.09669,0.223533,0.003829,0,101,0.34225,0.161058
UKR,Ukraine,11,7,18,4841.46,324.037,5165.497,5,0.344771,0.377883,38.39369,0.069136,0.022042,0.004619,0,101,0.295972,0.366667
ZAF,South Africa,21,33,54,10437.584,27455.589,37893.173,3,0.487298,0.543444,1570.262511,0.118401,0.097336,0.012612,0,101,0.469984,0.198782
BDI,Burundi,4,1,5,1154.007,34.253,1188.26,4,0.325617,0.338468,0.427632,0.019175,0.00191,0.002981,0,101,0.053686,0.4
TZA,Tanzania,12,22,34,16779.448,8889.16,25668.608,3,0.480638,0.521327,456.299271,0.048768,0.069154,0.00784,0,101,0.198206,0.216524
CMR,Cameroon,11,3,14,1603.544,4.843,1608.387,4,0.40038,0.422591,6.293502,0.083644,0.011668,0.00406,0,101,0.316818,0.583333
COL,Colombia,5,3,8,271763.992,0.904,271764.896,1,1,1,22.308347,0.03963,0.004925,0.002975,0,59,0.146717,0.267857
MDA,Moldova,7,0,7,146.34,0,146.34,0,0,0,0,0.035086,0,0.003974,0,10,0.162766,0.428571
MRT,Mauritania,4,0,4,1712.349,0,1712.349,0,0,0,0,0.032385,0,0.002556,0,64,0.078436,0.5
ZAR,Congo [DRC],9,1,10,1423.05,92.54,1515.59,5,0.273671,0.287599,10.771451,0.059406,0.001802,0.004174,0,101,0.210903,0.527778
BEN,Benin,2,10,12,49.343,3627.345,3676.688,3,0.448936,0.477883,1.002064,0.022398,0.043274,0.00211,0,101,0.057101,0.427273
BGD,Bangladesh,9,0,9,116985.481,0,116985.481,0,0,0,0,0.067378,0,0.003499,0,77,0.19951,0.430556
BFA,Burkina Faso,6,2,8,24540.911,9.284,24550.195,4,0.330721,0.346367,11.364625,0.042844,0.006145,0.003163,0,101,0.134831,0.428571
UZB,Uzbekistan,5,0,5,36.454,0,36.454,0,0,0,0,0.023469,0,0.003694,0,6,0.100352,0.2
FRE,Free Zones,1,0,1,0.017,0,0.017,0,0,0,0,0.00051,0,0.002806,0,71,0.008658,0
BIH,Bosnia and Herzegovina,5,4,9,5150.511,14.799,5165.31,4,0.382246,0.406003,3.594255,0.040496,0.015603,0.003004,0,101,0.139566,0.52381
MNT,Montenegro,5,2,7,2314.988,0.038,2315.026,4,0.365052,0.383096,0.392157,0.02844,0.00998,0.003516,0,101,0.095932,0.633333
BLR,Belarus,4,1,5,20571.606,88.1,20659.706,5,0.265075,0.281122,0,0.024738,0.003916,0.00275,0,101,0.082359,0.5
BLZ,,2,2,4,435.863,33.248,469.111,5,0.304913,0.323776,3.378723,0.013881,0.002147,0.002637,0,101,0.036738,0.166667
GTM,Guatemala,7,9,16,108584.355,959.395,109543.75,4,0.418651,0.450237,346.08953,0.025588,0.027369,0.00684,0,101,0.148785,0.173077
JAM,Jamaica,4,14,18,5107.198,180.073,5287.271,4,0.365052,0.406793,301.514627,0.029244,0.016443,0.00354,0,101,0.105009,0.111111
BOL,Bolivia,1,4,5,1432.342,291359.572,292791.914,4,0.358234,0.380332,0.2,0.004798,0.012849,0.002002,0,101,0.014172,0.416667
PER,Peru,6,18,24,280828.508,130.584,280959.092,3,0.457701,0.49763,76.598331,0.045693,0.083725,0.003308,0,101,0.137965,0.367965
AGO,Angola,14,0,14,2506.616,0,2506.616,0,0,0,0,0.062252,0,0.008962,0,31,0.272263,0.340659
BHS,"Bahamas, The",4,0,4,63.475,0,63.475,0,0,0,0,0.029202,0,0.002433,0,70,0.097073,0.416667
CYM,Cayman Islands,4,0,4,28.272,0,28.272,0,0,0,0,0.018606,0,0.003569,0,48,0.052263,0.166667
