International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index"
SLV,,,,,"4,222.92","4,362.95","4,428.51","4,559.99","4,683.85",86.46,90.20,94.16,97.48,97.42,100.00,105.91,108.61,109.24,110.35,111.79,112.53,113.63,115.58,116.56,115.99,123.07,
GNQ,,,,,,,,,,,81.90,84.38,101.12,80.06,100.00,117.05,122.73,121.41,119.86,95.66,89.65,101.07,110.69,108.26,98.15,102.19,
ERI,16.63,17.31,18.92,20.51,24.59,28.29,32.86,40.05,49.98,53.79,59.92,64.29,72.18,90.43,100.00,103.34,110.76,107.40,109.10,106.25,106.65,101.95,95.02,90.42,96.88,98.11,
EST,45.05,49.52,52.94,56.36,58.44,62.41,65.44,67.99,71.17,75.39,82.16,92.31,98.59,98.21,100.00,105.47,109.77,114.19,117.52,118.74,121.34,125.70,131.78,136.00,135.28,143.39,167.14
SWZ,,,,,52.33,59.49,50.03,56.26,62.87,66.84,71.92,76.78,87.66,98.56,100.00,110.20,116.26,129.51,138.21,151.17,163.23,168.02,167.45,175.39,180.22,184.98,
EMU,79.65,79.49,80.33,81.62,82.75,84.79,86.87,88.81,90.53,92.23,94.10,96.44,98.43,99.34,100.00,101.07,102.37,103.64,104.62,106.11,107.08,108.28,109.94,111.84,113.84,116.20,
FIN,80.04,81.70,84.23,85.01,86.41,89.26,90.10,90.28,90.82,91.66,92.51,95.05,97.94,99.68,100.00,102.62,105.68,108.38,110.15,111.93,112.03,112.94,115.20,116.93,118.84,121.41,126.49
FRA,80.98,81.69,82.47,82.64,83.92,85.60,87.37,89.00,90.44,92.19,94.18,96.59,98.88,98.94,100.00,100.95,102.12,102.92,103.51,104.69,105.23,105.78,106.83,108.20,111.21,112.69,116.11
GAB,49.06,49.53,40.72,48.54,62.17,58.27,58.52,58.70,62.99,77.31,83.87,88.56,101.41,85.75,100.00,112.68,109.37,102.75,101.76,92.67,88.72,92.11,98.71,100.24,91.08,114.22,
GMB,,,,,,,,,81.22,79.80,81.01,83.26,92.14,97.24,100.00,106.67,109.68,115.34,120.09,130.81,139.88,147.28,152.29,169.13,172.63,185.37,
GEO,49.96,53.23,56.92,62.46,65.38,68.90,72.98,75.48,81.84,88.33,95.80,104.86,114.93,112.47,100.00,108.75,109.21,110.69,115.36,122.08,125.28,135.92,141.85,149.21,160.08,,
DEU,88.85,89.09,89.70,90.01,89.57,90.74,91.99,93.20,94.24,94.63,95.00,96.68,97.56,99.36,100.00,101.07,102.58,104.59,106.56,108.53,109.97,111.63,113.87,116.29,118.39,122.01,128.70
GHA,,,,,,,,,,,,,,,100.00,115.23,133.28,151.52,187.79,212.68,246.18,272.46,301.26,326.80,357.41,397.40,
GRC,63.63,67.80,71.26,73.84,75.01,77.62,80.22,82.99,85.53,87.45,90.50,93.60,97.67,100.18,100.00,100.96,100.68,98.62,96.71,96.43,95.87,96.14,95.98,96.20,95.37,96.60,
GRD,,,,,80.47,82.19,82.50,82.44,84.11,86.18,90.20,92.29,99.53,99.52,100.00,100.22,104.16,107.20,108.04,111.02,113.95,115.81,115.03,116.36,116.66,121.64,
GIN,,,,,,,,,,,,98.38,98.11,88.01,100.00,93.07,95.64,90.24,88.77,88.75,90.93,95.27,92.72,152.32,314.91,,
GNB,,111.55,123.08,107.79,83.07,86.20,89.11,88.60,83.74,86.35,82.69,87.64,98.82,95.04,100.00,108.45,108.42,107.41,108.81,124.60,128.14,141.47,,,,,
GUY,,,,,,,,,,,80.20,86.79,95.08,96.18,100.00,102.41,107.25,106.68,104.43,107.57,108.53,110.82,107.62,110.81,81.67,100.02,
HTI,21.18,23.88,27.26,29.17,32.40,36.69,39.48,45.41,56.45,64.03,70.00,76.41,83.85,93.12,100.00,104.32,112.88,122.00,126.07,131.05,150.92,172.06,184.58,216.98,261.64,312.24,
HND,,,,,53.40,57.72,60.68,64.18,68.32,73.29,77.21,82.33,88.74,95.53,100.00,107.81,111.67,113.20,120.95,129.34,134.10,140.15,142.88,148.77,155.67,161.59,
HUN,36.93,44.41,50.53,54.63,59.86,66.48,71.86,75.76,79.62,81.71,84.70,89.31,93.60,97.53,100.00,101.93,104.88,107.84,111.82,114.92,116.44,121.13,127.00,133.06,141.58,150.51,173.33
ISL,47.09,48.39,50.67,52.44,54.55,59.30,62.78,63.09,64.78,66.77,72.52,75.66,84.85,94.01,100.00,103.10,106.64,108.91,113.42,120.29,123.01,124.16,127.43,133.08,138.48,147.56,160.91
IND,,,,,,,,,,71.45,75.65,80.02,87.22,91.15,100.00,108.86,116.73,124.39,130.34,132.95,136.30,142.75,149.51,151.15,156.46,169.81,186.00
IDN,,,,,,,,,,,,,87.86,93.16,100.00,107.47,111.50,117.04,123.41,128.32,131.45,137.09,142.33,144.60,144.02,152.67,167.27
IRQ,,,39.08,67.20,96.37,75.49,83.21,36.98,42.80,58.14,71.54,81.87,106.58,85.77,100.00,124.69,128.02,128.00,127.07,93.82,77.86,92.54,102.69,101.47,87.94,121.34,
IRL,69.36,72.09,76.81,80.17,85.68,91.56,96.31,100.08,100.59,103.69,107.23,108.52,107.97,102.98,100.00,101.73,104.05,105.14,105.20,114.02,114.85,116.11,117.36,121.55,119.65,120.44,126.81
ISR,67.85,73.33,78.39,83.21,84.76,86.44,90.52,90.19,90.34,91.04,92.52,93.29,94.52,98.82,100.00,101.36,104.67,106.48,106.94,109.70,110.10,109.96,110.71,112.78,113.86,116.36,121.57
ITA,73.22,75.10,76.90,78.09,79.49,81.90,84.58,87.24,89.57,91.37,93.31,95.63,97.92,99.57,100.00,101.61,103.18,104.36,105.32,106.30,107.50,108.28,109.44,110.47,112.20,112.87,116.27
JAM,,,,,,,,,,,,71.76,81.41,90.93,100.00,105.60,112.53,121.95,130.65,139.24,146.13,155.03,163.08,168.22,174.31,188.50,
JPN,114.48,115.06,115.02,113.60,112.08,110.86,109.32,107.56,106.35,105.08,104.18,103.44,102.50,101.92,100.00,98.38,97.63,97.29,98.93,101.02,101.44,101.37,101.37,102.01,102.97,102.74,102.99
JOR,56.05,56.22,59.45,59.54,59.29,59.99,59.86,61.29,63.44,64.56,70.92,74.62,89.69,92.53,100.00,105.91,110.79,117.60,121.65,124.29,125.98,128.09,130.29,132.46,132.12,133.83,
KAZ,16.17,18.78,19.84,22.48,26.39,29.07,30.76,34.37,39.92,47.05,57.19,66.07,79.90,83.65,100.00,120.43,125.95,138.05,145.87,148.83,169.46,188.82,206.20,221.94,231.53,264.29,
KEN,,,,,,,,,,,,,,98.39,100.00,110.07,120.55,129.39,139.27,152.14,161.04,173.25,180.55,188.27,197.56,207.44,
