Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,Authority,Hub,componentnumber,strongcompnum,eigencentrality,period,network
CYP,Cyprus,22,0,22,19705.332,0,19705.332,0,0,0,0,0.005806,0.627706,0.088196,0,0,35,0.467169,2,1201
CZE,Czech Republic,25,36,61,108821.005,65686.727,174507.732,4,0.470213,0.53356,157.253292,0.006864,0.420719,0.098467,0.102569,0,89,0.53375,2,1201
DEU,Germany,53,68,121,13809831.07,372435.669,14182266.73,3,0.580052,0.648567,1166.641945,0.012895,0.233242,0.163436,0.178278,0,89,0.909079,2,1201
DNK,Denmark,31,35,66,129657.491,12134.592,141792.083,3,0.512761,0.561086,340.967884,0.008886,0.423362,0.114727,0.103953,0,89,0.647702,2,1201
DZA,Algeria,17,1,18,1702238.878,0.007,1702238.885,5,0.294274,0.304223,1.800524,0.003597,0.663399,0.086721,0.001685,0,89,0.350155,2,1201
EST,Estonia,19,4,23,4516.436,3629.54,8145.976,4,0.342636,0.360106,6.201544,0.006267,0.760526,0.072235,0.00979,0,89,0.428779,2,1201
FIN,Finland,19,9,28,127146.494,2123.394,129269.888,3,0.470213,0.492459,122.428182,0.006128,0.575385,0.077665,0.025167,0,89,0.443104,2,1201
GEO,Georgia,18,4,22,48700.386,988.808,49689.194,4,0.370184,0.392534,10.408487,0.004659,0.516667,0.074077,0.00982,0,89,0.349775,2,1201
HRV,Croatia,21,32,53,31811.212,797708.26,829519.472,4,0.460417,0.519985,71.92481,0.005428,0.469048,0.085078,0.090739,0,89,0.436524,2,1201
HUN,Hungary,25,42,67,481325.385,400388.126,881713.511,4,0.502273,0.565234,121.620992,0.005944,0.369082,0.088432,0.119426,0,89,0.50886,2,1201
IRL,Ireland,19,7,26,116425.295,5673.797,122099.092,4,0.413858,0.441554,2.937768,0.004433,0.652174,0.08682,0.024235,0,89,0.442985,2,1201
ISR,Israel,19,18,37,1498594.776,518,1499112.776,4,0.473233,0.508673,44.749741,0.004015,0.436559,0.089954,0.054802,0,89,0.345052,2,1201
JOR,Jordan,19,4,23,14751.282,111.333,14862.615,4,0.376491,0.399698,84.985144,0.005951,0.490119,0.085258,0.007161,0,89,0.364257,2,1201
KAZ,Kazakhstan,19,13,32,75359.652,94670.092,170029.744,4,0.439364,0.474359,80.401129,0.005287,0.424501,0.078226,0.027963,0,89,0.380546,2,1201
LBY,Libya,11,0,11,3312.651,0,3312.651,0,0,0,0,0.00392,0.572727,0.046739,0,0,29,0.20158,2,1201
LTU,Lithuania,23,17,40,43394.36,14587.089,57981.449,4,0.425819,0.467949,94.363142,0.007277,0.578818,0.091534,0.05056,0,89,0.518291,2,1201
LUX,Luxembourg,17,8,25,29800.842,141.373,29942.215,4,0.40255,0.432504,5.909141,0.004,0.660526,0.068573,0.025129,0,89,0.365965,2,1201
LVA,Latvia,14,4,18,4253.022,5024.177,9277.199,4,0.350238,0.372172,4.74513,0.004779,0.804762,0.057793,0.010635,0,89,0.308203,2,1201
MDA,Moldova,14,18,32,18713.584,94314.728,113028.312,4,0.444668,0.486048,13.742439,0.003529,0.57,0.060588,0.056782,0,89,0.29017,2,1201
MLT,Malta,14,0,14,410.933,0,410.933,0,0,0,0,0.003889,0.840659,0.065044,0,0,33,0.339241,2,1201
MNT,Montenegro,10,0,10,5010.374,0,5010.374,0,0,0,0,0.00313,0.644444,0.039666,0,0,34,0.171655,2,1201
NLD,Netherlands,51,105,156,17156435.24,5026297.987,22182733.23,3,0.65,0.735294,1988.505516,0.013806,0.155697,0.15333,0.248085,0,89,0.851832,2,1201
