International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index"
ETH,33.48,34.28,34.59,37.34,37.58,34.49,34.72,39.47,40.78,44.85,50.36,59.04,85.23,92.46,100.00,133.25,164.70,176.99,189.19,207.29,221.03,244.65,278.49,322.52,388.17,492.36,
FJI,62.27,64.37,68.05,69.39,70.14,73.14,73.70,76.77,78.94,80.81,82.82,86.80,93.51,96.44,100.00,107.28,110.95,114.18,114.78,116.35,120.85,124.89,129.99,132.30,128.86,129.06,134.90
FIN,80.48,81.44,82.58,83.54,86.08,88.30,89.69,90.48,90.65,91.21,92.64,94.97,98.83,98.83,100.00,103.42,106.32,107.89,109.02,108.79,109.18,110.00,111.19,112.33,112.66,115.13,123.33
FRA,81.04,82.02,82.55,83.00,84.39,85.77,87.42,89.25,91.16,92.76,94.31,95.71,98.41,98.49,100.00,102.11,104.11,105.01,105.54,105.58,105.77,106.86,108.84,110.05,110.57,112.39,118.26
GAB,78.48,81.60,82.78,81.18,81.59,83.33,83.36,85.23,85.57,88.75,87.50,91.90,96.74,98.56,100.00,101.26,103.95,104.47,109.37,109.00,111.30,114.25,119.68,122.63,124.29,125.64,130.95
GMB,46.85,48.15,48.69,50.54,50.97,53.26,57.85,67.70,77.32,81.06,82.73,87.17,91.04,95.19,100.00,104.80,109.25,115.48,122.35,130.68,140.13,151.38,161.26,172.73,182.98,196.46,219.08
GEO,39.91,42.74,44.26,52.76,54.90,57.45,60.66,61.17,64.63,69.96,76.37,83.43,91.78,93.36,100.00,108.54,107.52,106.97,110.25,114.66,117.11,124.18,127.43,133.61,140.56,154.01,172.34
DEU,81.65,83.23,83.99,84.48,85.70,87.40,88.64,89.56,91.05,92.46,93.92,96.07,98.60,98.91,100.00,102.08,104.13,105.69,106.65,107.20,107.73,109.35,111.25,112.85,113.02,116.48,124.49
GHA,8.91,11.39,13.06,13.70,19.21,27.18,29.73,38.58,45.54,52.57,58.71,65.01,75.73,90.31,100.00,108.73,120.89,134.99,155.90,182.64,214.52,241.06,259.89,278.45,305.98,336.49,441.67
GRC,61.68,65.09,68.20,70.00,72.20,74.64,77.35,80.08,82.40,85.32,88.05,90.60,94.36,95.50,100.00,103.33,104.88,103.92,102.55,100.77,99.94,101.06,101.69,101.95,100.68,101.91,111.74
GRD,69.71,70.58,71.55,71.97,73.54,75.85,76.66,78.31,80.12,82.91,86.43,89.77,96.98,96.68,100.00,103.03,105.52,105.47,104.43,103.90,105.61,106.57,107.43,108.07,107.27,108.58,
GLP,,,,,,,,,,,,,,,100.00,102.57,104.50,105.46,105.83,106.15,106.05,,,,,,
GTM,39.94,43.62,46.51,48.93,51.86,55.64,60.16,63.53,68.35,74.57,79.47,84.89,94.53,96.28,100.00,106.21,110.23,115.02,118.95,121.79,127.21,132.84,137.82,142.92,147.52,153.80,164.39
GIN,,,,,,,,,32.26,42.39,57.09,67.47,83.03,86.92,100.00,121.32,139.79,156.41,166.03,185.58,200.75,218.65,240.14,262.88,290.75,327.37,361.72
GNB,45.76,68.23,73.69,72.16,78.39,81.01,83.69,80.76,81.47,84.18,85.83,89.79,99.18,97.54,100.00,105.05,107.28,108.58,106.94,108.52,110.15,112.01,112.44,112.72,114.00,116.56,127.51
GUY,45.65,47.27,49.44,53.17,56.44,57.92,61.01,64.66,67.68,72.37,77.20,86.62,93.64,96.40,100.00,104.98,107.49,109.53,110.47,109.36,110.27,112.37,113.82,116.19,117.35,123.25,
HTI,22.57,27.21,28.65,29.51,32.26,36.56,39.13,50.36,60.95,69.47,77.35,82.42,95.02,95.39,100.00,106.33,111.67,116.99,121.01,129.16,144.02,159.40,179.29,212.83,261.34,305.36,409.13
HND,28.40,34.14,38.80,43.33,48.12,52.77,56.83,61.19,66.15,71.98,76.00,81.27,90.54,95.51,100.00,106.76,112.31,118.11,125.35,129.30,132.83,138.05,144.06,150.34,155.56,162.53,177.30
HUN,35.48,41.98,47.92,52.71,57.88,63.15,66.48,69.58,74.27,76.92,79.94,86.30,91.51,95.37,100.00,103.93,109.80,111.71,111.45,111.38,111.82,114.45,117.71,121.64,125.69,132.11,151.41
ISL,48.72,49.61,50.43,52.06,54.73,58.24,61.26,62.52,64.50,67.07,71.55,75.17,84.71,94.88,100.00,104.00,109.39,113.63,115.95,117.85,119.85,121.96,125.23,129.00,132.68,138.57,150.09
IND,41.13,44.08,49.91,52.24,54.34,56.39,58.82,61.05,63.35,66.04,69.87,74.32,80.53,89.29,100.00,108.91,119.24,131.18,139.92,146.79,154.05,159.18,165.45,171.62,182.99,192.38,
IDN,20.93,22.24,35.23,42.45,44.02,49.08,54.92,58.63,62.18,68.68,77.69,82.67,91.12,95.12,100.00,105.36,109.86,116.91,124.39,132.30,136.97,142.18,146.73,151.18,154.08,156.48,163.07
IRN,13.47,15.81,18.64,22.38,25.62,28.50,32.59,37.96,43.56,49.41,54.36,63.79,79.99,90.84,100.00,126.29,160.72,219.54,256.00,287.96,308.83,333.67,393.78,550.93,719.48,"1,031.66",
IRQ,10.88,13.39,15.36,17.30,18.16,21.13,25.21,33.69,42.77,58.58,89.77,80.73,90.95,97.20,100.00,105.80,112.24,114.35,116.91,118.54,119.20,119.42,119.86,119.62,120.31,127.57,133.95
IRL,70.23,71.30,73.02,74.21,78.36,82.18,85.97,88.97,90.93,93.14,96.80,101.54,105.66,100.93,100.00,102.56,104.30,104.83,105.02,104.71,104.72,105.08,105.59,106.58,106.23,108.73,117.22
ISR,66.17,72.10,76.06,80.00,80.83,81.76,86.48,87.09,86.75,87.89,89.71,90.11,94.22,97.38,100.00,103.48,105.22,106.87,107.39,106.74,106.15,106.43,107.27,108.19,107.52,109.14,113.94
ITA,74.42,75.94,77.43,78.71,80.71,82.96,85.00,87.28,89.20,90.97,92.87,94.57,97.74,98.50,100.00,102.78,105.91,107.20,107.46,107.50,107.40,108.71,109.95,110.62,110.47,112.54,121.77
JAM,24.93,27.34,29.70,31.47,34.04,36.36,38.93,42.86,48.67,55.99,60.79,66.40,81.03,88.80,100.00,107.56,114.95,125.69,136.09,141.11,144.43,150.75,156.38,162.49,170.98,181.01,199.74
JPN,101.27,103.04,103.72,103.37,102.67,101.91,100.97,100.71,100.70,100.41,100.66,100.72,102.12,100.73,100.00,99.73,99.68,100.02,102.78,103.59,103.46,103.96,104.99,105.48,105.46,105.21,107.84
