Source,Target,1201 in 1000 USD ,Year
BRA,FRA,51552.844,1997
BRA,FRA,49017.896,1998
BRA,FRA,46792.152,1999
BRA,FRA,35996.361,2000
BRA,FRA,80863.021,2001
BRA,FRA,94540.413,2002
BRA,FRA,130265.157,2003
BRA,FRA,49191.852,2004
BRA,FRA,82941.184,2005
BRA,FRA,37662.757,2006
BRA,FRA,69538.251,2007
BRA,FRA,117221.042,2008
BRA,FRA,150732.367,2009
BRA,FRA,45026.166,2010
BRA,FRA,107540.742,2011
BRA,FRA,281399.805,2012
BRA,FRA,79624.723,2013
BRA,FRA,99921.025,2014
BRA,FRA,129552.228,2015
BRA,FRA,94196.433,2016
BRA,FRA,85918.088,2017
BRA,FRA,42709.447,2018
BRA,FRA,50502.731,2019
BRA,FRA,27118.377,2020
BRA,FRA,89769.157,2021
BRA,FRA,66142.737,2022
BRA,GBR,46489.06,1997
BRA,GBR,96133.792,1998
BRA,GBR,81590.511,1999
BRA,GBR,73131.495,2000
BRA,GBR,91080.131,2001
BRA,GBR,128576.713,2002
BRA,GBR,136404.35,2003
BRA,GBR,146815.907,2004
BRA,GBR,153009.366,2005
BRA,GBR,132916.77,2006
BRA,GBR,174866.587,2007
BRA,GBR,229453.645,2008
BRA,GBR,261341.273,2009
BRA,GBR,251697.553,2010
BRA,GBR,333799.82,2011
BRA,GBR,300607.387,2012
BRA,GBR,241917.791,2013
BRA,GBR,148241.501,2014
BRA,GBR,143934.134,2015
BRA,GBR,154397.666,2016
BRA,GBR,247569.84,2017
BRA,GBR,155233.792,2018
BRA,GBR,141521.342,2019
BRA,GBR,220983.557,2020
BRA,GBR,154785.517,2021
BRA,GBR,365292.501,2022
BRA,GEO,13638.705,2011
BRA,GHA,1110,2010
BRA,GHA,270.642,2011
BRA,GHA,3095.317,2012
BRA,GHA,29.437,2017
BRA,GHA,4.8,2020
BRA,GHA,108.99,2021
BRA,GIB,1203.26,1998
BRA,GIB,2940.495,1999
BRA,GIB,1110,2000
BRA,GIB,691.17,2005
BRA,GIB,8504.4,2009
BRA,GMB,337.392,2015
BRA,GNQ,1.786,2013
BRA,GNQ,6.067,2014
BRA,GNQ,8.556,2015
BRA,GRC,10594.423,1997
BRA,GRC,17375.772,1998
BRA,GRC,11210.442,1999
BRA,GRC,6272.935,2000
BRA,GRC,8856.926,2001
BRA,GRC,19053.347,2002
BRA,GRC,22701.09,2003
BRA,GRC,34336.425,2004
BRA,GRC,26924.033,2005
BRA,GRC,44731.286,2006
BRA,GRC,44330.511,2007
BRA,GRC,54752.871,2008
BRA,GRC,30723.405,2009
BRA,GRC,16188.828,2010
BRA,GRC,20657.686,2011
BRA,GRC,5115.432,2014
BRA,GRC,3053.687,2015
BRA,GRC,5362.31,2017
BRA,GRC,19173.099,2018
BRA,GRC,3462.082,2019
BRA,GRC,35842.619,2020
BRA,GRC,49316.136,2021
BRA,GRC,109711.649,2022
BRA,GTM,57.397,1997
BRA,GTM,145.199,1998
BRA,GTM,62.261,1999
BRA,GTM,25.402,2000
BRA,GTM,8,2001
BRA,GTM,4.5,2004
BRA,GTM,11.866,2005
BRA,GTM,147,2008
BRA,GUY,38,2012
BRA,GUY,585.059,2013
BRA,GUY,751.825,2014
BRA,GUY,609.292,2015
BRA,GUY,353.179,2016
BRA,GUY,4.107,2021
BRA,GUY,54.753,2022
BRA,HKG,1183.28,2001
BRA,HKG,440.044,2012
BRA,HKG,4749.51,2013
BRA,HKG,0.139,2019
BRA,HKG,0.083,2020
BRA,HKG,0.153,2021
BRA,HKG,0.357,2022
BRA,HRV,5381.558,2000
BRA,HRV,11964.593,2001
BRA,HRV,14782.958,2002
BRA,HRV,16034.99,2003
BRA,HRV,6958.047,2004
BRA,HRV,28715.621,2005
BRA,HRV,5461.413,2006
BRA,HRV,15443.945,2008
BRA,HRV,19806.055,2010
BRA,HUN,2834.68,1997
BRA,IDN,4561.02,2008
BRA,IDN,873.719,2010
BRA,IDN,5878.2,2011
BRA,IDN,124.503,2013
BRA,IDN,1684.145,2015
BRA,IDN,177.652,2017
BRA,IDN,10699.034,2018
BRA,IDN,6272.504,2019
BRA,IDN,3094.187,2021
BRA,IDN,22512.562,2022
BRA,IND,388.4,2002
BRA,IND,363.99,2008
BRA,IND,543.461,2013
BRA,IND,148.551,2016
BRA,IRL,1077.444,2000
BRA,IRL,2412.224,2001
BRA,IRL,830.73,2002
BRA,IRL,4335.296,2003
BRA,IRL,3360.765,2004
BRA,IRL,9560.688,2005
BRA,IRL,3523.571,2006
BRA,IRL,4568.69,2007
BRA,IRL,190.432,2010
BRA,IRL,0.053,2011
BRA,IRL,4564.486,2020
BRA,IRN,4029.076,1998
BRA,IRN,16863.386,1999
BRA,IRN,61839.852,2000
BRA,IRN,76494.419,2001
BRA,IRN,64318.87,2002
BRA,IRN,77224.31,2003
BRA,IRN,181500.261,2004
BRA,IRN,200209.867,2005
BRA,IRN,214994.182,2006
BRA,IRN,111086.497,2007
BRA,IRN,23442.829,2008
BRA,IRN,48682.06,2009
BRA,IRN,21082.839,2010
BRA,IRN,86502.486,2011
BRA,IRN,10355.726,2012
BRA,IRN,72669.197,2013
BRA,IRN,32659.965,2014
BRA,IRN,211101.228,2015
BRA,IRN,467882.533,2016
BRA,IRN,469123.723,2017
BRA,IRN,511283.027,2018
BRA,IRN,544789.51,2019
BRA,IRN,245421.529,2020
BRA,IRN,560650.792,2021
BRA,IRN,1358493.757,2022
BRA,ISR,45066.827,2003
BRA,ISR,56433.026,2004
BRA,ISR,59227.881,2005
BRA,ISR,11581.248,2006
BRA,ISR,56447.168,2007
BRA,ISR,34687.382,2008
BRA,ISR,30853.023,2009
BRA,ISR,8914.096,2010
BRA,ISR,52653.627,2011
BRA,ISR,4548.395,2012
BRA,ISR,7747.789,2013
BRA,ISR,31474.964,2014
BRA,ISR,38007.177,2015
BRA,ISR,23506.476,2016
BRA,ISR,43307.62,2017
BRA,ISR,57682.159,2018
BRA,ISR,49534.61,2019
BRA,ISR,65623.026,2020
BRA,ISR,82483.057,2021
BRA,ISR,139418.764,2022
BRA,ITA,61523.656,1997
BRA,ITA,76337.416,1998
BRA,ITA,77485.718,1999
BRA,ITA,85103.88,2000
BRA,ITA,120967.095,2001
BRA,ITA,97166.908,2002
BRA,ITA,165066.287,2003
BRA,ITA,240282.645,2004
BRA,ITA,319738.483,2005
BRA,ITA,240880.81,2006
BRA,ITA,331861.321,2007
BRA,ITA,477469.365,2008
BRA,ITA,278507.515,2009
BRA,ITA,213132.825,2010
BRA,ITA,73269.297,2011
BRA,ITA,73643.52,2012
BRA,ITA,190681.52,2013
BRA,ITA,249688.716,2014
BRA,ITA,34198.189,2015
BRA,ITA,185516.931,2016
BRA,ITA,119814.853,2017
BRA,ITA,90248.86,2018
BRA,ITA,80700.678,2019
BRA,ITA,210697.687,2020
BRA,ITA,382191.917,2021
BRA,ITA,327561.409,2022
BRA,JOR,0.054,2009
BRA,JOR,12577.107,2022
BRA,JPN,136601.648,1997
BRA,JPN,68593.648,1998
BRA,JPN,64469.686,1999
BRA,JPN,103224.471,2000
BRA,JPN,137360.935,2001
BRA,JPN,140012.555,2002
BRA,JPN,140000.544,2003
BRA,JPN,97270.099,2004
BRA,JPN,96647.989,2005
BRA,JPN,49850.203,2006
BRA,JPN,109020.475,2007
BRA,JPN,214994.996,2008
BRA,JPN,245862.636,2009
BRA,JPN,192576.333,2010
BRA,JPN,253805.037,2011
BRA,JPN,297345.757,2012
BRA,JPN,328959.061,2013
BRA,JPN,299754.455,2014
BRA,JPN,185150.481,2015
BRA,JPN,171740.443,2016
BRA,JPN,175400.275,2017
BRA,JPN,219731.626,2018
BRA,JPN,180315.747,2019
BRA,JPN,156083.924,2020
BRA,JPN,216322.389,2021
BRA,JPN,358269.693,2022
BRA,KHM,3.766,2019
BRA,KOR,10160.651,1997
BRA,KOR,7463.05,1998
BRA,KOR,9003.292,1999
BRA,KOR,20940.892,2000
BRA,KOR,16642.864,2001
BRA,KOR,31905.565,2002
BRA,KOR,53188.94,2003
BRA,KOR,19489.246,2004
BRA,KOR,109588.698,2005
BRA,KOR,122553.435,2006
BRA,KOR,169137.001,2007
BRA,KOR,231627.758,2008
BRA,KOR,207861.479,2009
BRA,KOR,166841.313,2010
BRA,KOR,213162.808,2011
BRA,KOR,179735.773,2012
BRA,KOR,188524.001,2013
BRA,KOR,215816.187,2014
BRA,KOR,277741.325,2015
BRA,KOR,197937.309,2016
BRA,KOR,180049.953,2017
BRA,KOR,197813.509,2018
BRA,KOR,38537.538,2019
BRA,KOR,199980.912,2020
BRA,KOR,256659.372,2021
BRA,KOR,305141.314,2022
BRA,LBN,0.315,2009
BRA,LBN,4787.375,2019
BRA,LBN,24380.254,2022
BRA,LBR,0.06,2019
BRA,LBR,0.02,2021
BRA,LBR,0.484,2022
BRA,LCA,0.46,2005
BRA,LCA,2595.96,2007
BRA,LCA,9780.446,2008
BRA,LCA,68261.123,2009
BRA,LCA,53666.767,2010
BRA,LCA,163415.713,2011
BRA,LCA,125409.997,2012
BRA,LCA,220507.228,2013
BRA,LCA,148710.586,2014
BRA,LCA,194419.513,2015
BRA,LCA,148354.267,2016
BRA,LCA,104571.043,2017
BRA,LCA,117060.356,2018
BRA,LCA,116454.172,2019
